citation,citation_id,citation_text
"[46] SPENGLER S., GARCIA M. O.:    GEOCHEMISTRY OF THE HAWI LAVAS, KOHALA VOLCANO, HAWAII    CONTRIB. MINERAL. PETROL. 99   [1988]  90-104    doi: 10.1007/BF00399369",[46],"SPENGLER S., GARCIA M. O.:    GEOCHEMISTRY OF THE HAWI LAVAS, KOHALA VOLCANO, HAWAII    CONTRIB. MINERAL. PETROL. 99   [1988]  90-104    doi: 10.1007/BF00399369"
"[457] HAURI E. H., SHIMIZU N., DIEU J. J., HART S. R.:    EVIDENCE FOR HOTSPOT-RELATED CARBONATITE METASOMATISM IN THE OCEANIC UPPER MANTLE    NATURE 365   [1993]  221-227    doi: 10.1038/365221a0",[457],"HAURI E. H., SHIMIZU N., DIEU J. J., HART S. R.:    EVIDENCE FOR HOTSPOT-RELATED CARBONATITE METASOMATISM IN THE OCEANIC UPPER MANTLE    NATURE 365   [1993]  221-227    doi: 10.1038/365221a0"
"[693] HAMILTON E. I.:    THE ABUNDANCE AND DISTRIBUTION OF URANIUM IN SOME OCEANIC, CONTINENTAL ULTRAMAFIC INCLUSIONS AND HOST BASALTS    CHEM. GEOL. 16   [1975]  221-231    doi: 10.1016/0009-2541(75)90030-3",[693],"HAMILTON E. I.:    THE ABUNDANCE AND DISTRIBUTION OF URANIUM IN SOME OCEANIC, CONTINENTAL ULTRAMAFIC INCLUSIONS AND HOST BASALTS    CHEM. GEOL. 16   [1975]  221-231    doi: 10.1016/0009-2541(75)90030-3"
"[743] FRIKH-KHAR D. I., ASHIKHMINA N. A., MURAVITSKAYA G. N., SEVOSTYANOV M. A.:    ACCESSORY MINERALS OF EFFUSIVE CARBONATITES AND PHONOLITES OF CAPE VERDE ISLANDS    DOKL. ACAD. SCI. USSR, EARTH SCI. SECT. 303   [1988]  1455-1459",[743],"FRIKH-KHAR D. I., ASHIKHMINA N. A., MURAVITSKAYA G. N., SEVOSTYANOV M. A.:    ACCESSORY MINERALS OF EFFUSIVE CARBONATITES AND PHONOLITES OF CAPE VERDE ISLANDS    DOKL. ACAD. SCI. USSR, EARTH SCI. SECT. 303   [1988]  1455-1459"
"[904] AHIJADO A., HERNANDEZ-PACHECO A.:    THE ULTRAMAFIC ALKALINE ROCKS OF JABLE DE LA SALINAS, FUERTEVENTURA, CANARY ISLANDS    REV. SOC. GEOL. ESPANA 3   [1990]  275-287",[904],"AHIJADO A., HERNANDEZ-PACHECO A.:    THE ULTRAMAFIC ALKALINE ROCKS OF JABLE DE LA SALINAS, FUERTEVENTURA, CANARY ISLANDS    REV. SOC. GEOL. ESPANA 3   [1990]  275-287"
"[932] FERGUSON A. K.:    THE OCCURRENCE OF RAMSAYITE, TITAN-LAVENITE AND A FLUORINE-RICH EUCOLITE IN A NEPHELINE-SYENITE INCLUSION FROM TENERIFE, CANARY ISLANDS    CONTRIB. MINERAL. PETROL. 66   [1978]  15-20    doi: 10.1007/BF00376081",[932],"FERGUSON A. K.:    THE OCCURRENCE OF RAMSAYITE, TITAN-LAVENITE AND A FLUORINE-RICH EUCOLITE IN A NEPHELINE-SYENITE INCLUSION FROM TENERIFE, CANARY ISLANDS    CONTRIB. MINERAL. PETROL. 66   [1978]  15-20    doi: 10.1007/BF00376081"
"[1112] MACDONALD R., MCGARVIE D. W., PINKERTON H., SMITH R. L., PALACZ Z. A.:    PETROGENETIC EVOLUTION OF THE TORFAJOEKULL VOLCANIC COMPLEX, ICELAND: 1. RELATIONSHIP BETWEEN THE MAGMA TYPES    J. PETROL. 31   [1990]  429-459    doi: 10.1093/petrology/31.2.429",[1112],"MACDONALD R., MCGARVIE D. W., PINKERTON H., SMITH R. L., PALACZ Z. A.:    PETROGENETIC EVOLUTION OF THE TORFAJOEKULL VOLCANIC COMPLEX, ICELAND: 1. RELATIONSHIP BETWEEN THE MAGMA TYPES    J. PETROL. 31   [1990]  429-459    doi: 10.1093/petrology/31.2.429"
"[1321] IMSLAND P.:    PETROLOGY, MINERALOGY AND EVOLUTION OF THE JAN MAYEN MAGMA SYSTEM    VISINDAFELAG ISLENDINGA 43   [1984]  1-328",[1321],"IMSLAND P.:    PETROLOGY, MINERALOGY AND EVOLUTION OF THE JAN MAYEN MAGMA SYSTEM    VISINDAFELAG ISLENDINGA 43   [1984]  1-328"
"[1343] BAXTER A. N., UPTON B. G. J., WHITE W. M.:    PETROLOGY AND GEOCHEMISTRY OF RODRIGUES ISLAND, INDIAN OCEAN    CONTRIB. MINERAL. PETROL. 89   [1985]  90-101    doi: 10.1007/BF01177594",[1343],"BAXTER A. N., UPTON B. G. J., WHITE W. M.:    PETROLOGY AND GEOCHEMISTRY OF RODRIGUES ISLAND, INDIAN OCEAN    CONTRIB. MINERAL. PETROL. 89   [1985]  90-101    doi: 10.1007/BF01177594"
[1346] TAYLOR H. P. JR.:    THE OXYGEN ISOTOPE GEOCHEMISTRY OF IGNEOUS ROCKS    CONTRIB. MINERAL. PETROL. 19   [1968]  1-71    doi: 10.1007/BF00371729,[1346],TAYLOR H. P. JR.:    THE OXYGEN ISOTOPE GEOCHEMISTRY OF IGNEOUS ROCKS    CONTRIB. MINERAL. PETROL. 19   [1968]  1-71    doi: 10.1007/BF00371729
"[1357] FODOR R. V., KEIL K., BAUER G. R.:    CONTRIBUTIONS TO THE MINERAL CHEMISTRY OF HAWAIIAN ROCKS. V. COMPOSITION AND ORIGIN OF ULTRAMAFIC NODULES AND MEGACRYSTS IN A RHYODACITE FROM OAHU, HAWAIIAN ISLANDS    PACIFIC SCI. 31   [1977]  211-222",[1357],"FODOR R. V., KEIL K., BAUER G. R.:    CONTRIBUTIONS TO THE MINERAL CHEMISTRY OF HAWAIIAN ROCKS. V. COMPOSITION AND ORIGIN OF ULTRAMAFIC NODULES AND MEGACRYSTS IN A RHYODACITE FROM OAHU, HAWAIIAN ISLANDS    PACIFIC SCI. 31   [1977]  211-222"
"[1453] WULFF-PEDERSEN E., NEUMANN E.-R., VANNUCCI R., BOTTAZZI P., OTTOLINI L.:    SILICIC MELTS PRODUCED BY REACTION BETWEEN PERIDOTITE AND INFILTRATING BASALTIC MELTS: ION PROBE DATA ON GLASSES AND MINERALS IN VEINED XENOLITHS FROM LA PALMA, CANARY ISLANDS    CONTRIB. MINERAL. PETROL. 137   [1999]  59-82    doi: 10.1007/s004100050582",[1453],"WULFF-PEDERSEN E., NEUMANN E.-R., VANNUCCI R., BOTTAZZI P., OTTOLINI L.:    SILICIC MELTS PRODUCED BY REACTION BETWEEN PERIDOTITE AND INFILTRATING BASALTIC MELTS: ION PROBE DATA ON GLASSES AND MINERALS IN VEINED XENOLITHS FROM LA PALMA, CANARY ISLANDS    CONTRIB. MINERAL. PETROL. 137   [1999]  59-82    doi: 10.1007/s004100050582"
"[1498] MARQUES L. S., ULBRICH M. N. C., RUBERTI E., TASSINARI C. C. G.:    PETROLOGY, GEOCHEMISTRY AND SR-ND ISOTOPES OF THE TRINDADE AND MARTIN VAZ VOLCANIC ROCKS (SOUTHERN ATLANTIC OCEAN)    J. VOLCANOL. GEOTHERM. RES. 93   [1999]  191-216    doi: 10.1016/S0377-0273(99)00111-0",[1498],"MARQUES L. S., ULBRICH M. N. C., RUBERTI E., TASSINARI C. C. G.:    PETROLOGY, GEOCHEMISTRY AND SR-ND ISOTOPES OF THE TRINDADE AND MARTIN VAZ VOLCANIC ROCKS (SOUTHERN ATLANTIC OCEAN)    J. VOLCANOL. GEOTHERM. RES. 93   [1999]  191-216    doi: 10.1016/S0377-0273(99)00111-0"
"[1612] SCHANDL E. S., GORTON M. P., WICKS F. J.:    MINERALOGY AND GEOCHEMISTRY OF ALKALI BASALTS FROM MAUD RISE, WEDDELL SEA, ANTARCTICA    PROC. OCEAN DRILL. PROGRAM, SCIENT. RESULTS 113   [1990]  5-14    doi: 10.2973/odp.proc.sr.113.184.1990",[1612],"SCHANDL E. S., GORTON M. P., WICKS F. J.:    MINERALOGY AND GEOCHEMISTRY OF ALKALI BASALTS FROM MAUD RISE, WEDDELL SEA, ANTARCTICA    PROC. OCEAN DRILL. PROGRAM, SCIENT. RESULTS 113   [1990]  5-14    doi: 10.2973/odp.proc.sr.113.184.1990"
[2390] MEIJER A.:    THE ORIGIN OF LOW-K RHYOLITES FROM THE MARIANA FRONTAL ARC    CONTRIB. MINERAL. PETROL. 83   [1983]  45-51    doi: 10.1007/BF00373078,[2390],MEIJER A.:    THE ORIGIN OF LOW-K RHYOLITES FROM THE MARIANA FRONTAL ARC    CONTRIB. MINERAL. PETROL. 83   [1983]  45-51    doi: 10.1007/BF00373078
"[2529] TURNER D. L., JARRARD R. D., FORBES R. B.:    GEOCHRONOLOGY AND ORIGIN OF THE PRATT-WELKER SEAMOUNT CHAIN, GULF OF ALASKA: A NEW POLE OF ROTATION FOR THE PACIFIC PLATE    J. GEOPHYS. RES. B85   [1980]  6547-6556    doi: 10.1029/JB085iB11p06547",[2529],"TURNER D. L., JARRARD R. D., FORBES R. B.:    GEOCHRONOLOGY AND ORIGIN OF THE PRATT-WELKER SEAMOUNT CHAIN, GULF OF ALASKA: A NEW POLE OF ROTATION FOR THE PACIFIC PLATE    J. GEOPHYS. RES. B85   [1980]  6547-6556    doi: 10.1029/JB085iB11p06547"
"[2738] VILADKAR S. G., WIMMENAUER W.:    GEOCHEMICAL AND PETROLOGICAL STUDIES ON THE AMBA DONGAR CARBONATITES (GUJARAT, INDIA)    CHEM. ERDE 52   [1992]  277-291",[2738],"VILADKAR S. G., WIMMENAUER W.:    GEOCHEMICAL AND PETROLOGICAL STUDIES ON THE AMBA DONGAR CARBONATITES (GUJARAT, INDIA)    CHEM. ERDE 52   [1992]  277-291"
"[2748] MILNER S. C., LE ROEX A. P., O^CONNOR J. M.:    AGE OF MESOZOIC IGNEOUS ROCKS IN NORTHWESTERN NAMIBIA, AND THEIR RELATIONSHIP TO CONTINENTAL BREAKUP    J. GEOL. SOC. LONDON 152   [1995]  97-104    doi: 10.1144/gsjgs.152.1.0097",[2748],"MILNER S. C., LE ROEX A. P., O^CONNOR J. M.:    AGE OF MESOZOIC IGNEOUS ROCKS IN NORTHWESTERN NAMIBIA, AND THEIR RELATIONSHIP TO CONTINENTAL BREAKUP    J. GEOL. SOC. LONDON 152   [1995]  97-104    doi: 10.1144/gsjgs.152.1.0097"
"[3001] PANKHURST R. J., BECKINSALE R. D., BROOKS C. K.:    STRONTIUM AND OXYGEN ISOTOPE EVIDENCE RELATING TO THE PETROGENESIS OF THE KANGERDLUGSSUAQ ALKALINE INTRUSION, EAST GREENLAND    CONTRIB. MINERAL. PETROL. 54   [1976]  17-42    doi: 10.1007/BF00370870",[3001],"PANKHURST R. J., BECKINSALE R. D., BROOKS C. K.:    STRONTIUM AND OXYGEN ISOTOPE EVIDENCE RELATING TO THE PETROGENESIS OF THE KANGERDLUGSSUAQ ALKALINE INTRUSION, EAST GREENLAND    CONTRIB. MINERAL. PETROL. 54   [1976]  17-42    doi: 10.1007/BF00370870"
"[3418] LEEMAN W. P., VITALIANO C. J., PRINZ M.:    EVOLVED LAVAS FROM THE SNAKE RIVER PLAIN: CRATERS OF THE MOON NATIONAL MONUMENT    CONTRIB. MINERAL. PETROL. 56   [1976]  35-60    doi: 10.1007/BF00375420",[3418],"LEEMAN W. P., VITALIANO C. J., PRINZ M.:    EVOLVED LAVAS FROM THE SNAKE RIVER PLAIN: CRATERS OF THE MOON NATIONAL MONUMENT    CONTRIB. MINERAL. PETROL. 56   [1976]  35-60    doi: 10.1007/BF00375420"
"[3475] LUHR J. F., CARMICHAEL I. S. E.:    THE COLIMA VOLCANIC COMPLEX, MEXICO: PART II. LATE-QUATERNARY CINDER CONES    CONTRIB. MINERAL. PETROL. 76   [1981]  127-147    doi: 10.1007/BF00371954",[3475],"LUHR J. F., CARMICHAEL I. S. E.:    THE COLIMA VOLCANIC COMPLEX, MEXICO: PART II. LATE-QUATERNARY CINDER CONES    CONTRIB. MINERAL. PETROL. 76   [1981]  127-147    doi: 10.1007/BF00371954"
"[3559] MENZIES M. A., KEMPTON P. D., DUNGAN M. A.:    INTERACTION OF CONTINENTAL LITHOSPHERE AND ASTHENOSPHERIC MELTS BELOW THE GERONIMO VOLCANIC FIELD, U.S.A.    J. PETROL. 26   [1985]  663-693    doi: 10.1093/petrology/26.3.663",[3559],"MENZIES M. A., KEMPTON P. D., DUNGAN M. A.:    INTERACTION OF CONTINENTAL LITHOSPHERE AND ASTHENOSPHERIC MELTS BELOW THE GERONIMO VOLCANIC FIELD, U.S.A.    J. PETROL. 26   [1985]  663-693    doi: 10.1093/petrology/26.3.663"
"[3616] CARMICHAEL I. S. E., LANGE R. A., LUHR J. F.:    QUATERNARY MINETTES AND ASSOCIATED VOLCANIC ROCKS OF MASCOTA, WESTERN MEXICO: A CONSEQUENCE OF PLATE EXTENSION ABOVE A SUBDUCTION MODIFIED MANTLE WEDGE    CONTRIB. MINERAL. PETROL. 124   [1996]  302-333    doi: 10.1007/s004100050193",[3616],"CARMICHAEL I. S. E., LANGE R. A., LUHR J. F.:    QUATERNARY MINETTES AND ASSOCIATED VOLCANIC ROCKS OF MASCOTA, WESTERN MEXICO: A CONSEQUENCE OF PLATE EXTENSION ABOVE A SUBDUCTION MODIFIED MANTLE WEDGE    CONTRIB. MINERAL. PETROL. 124   [1996]  302-333    doi: 10.1007/s004100050193"
"[3621] LUHR J. F., CARMICHAEL I. S. E.:    JORULLO VOLCANO, MICHOACAN, MEXICO (1759-1774): THE EARLIEST STAGES OF FRACTIONATION IN CALC-ALKALINE MAGMAS    CONTRIB. MINERAL. PETROL. 90   [1985]  142-161    doi: 10.1007/BF00378256",[3621],"LUHR J. F., CARMICHAEL I. S. E.:    JORULLO VOLCANO, MICHOACAN, MEXICO (1759-1774): THE EARLIEST STAGES OF FRACTIONATION IN CALC-ALKALINE MAGMAS    CONTRIB. MINERAL. PETROL. 90   [1985]  142-161    doi: 10.1007/BF00378256"
"[3648] TORMEY D. R., FREY F. A., LOPEZ-ESCOBAR L.:    GEOCHEMISTRY OF THE ACTIVE AZUFRE-PLANCHON-PETEROA VOLCANIC COMPLEX, CHILE (35°15^S): EVIDENCE FOR MULTIPLE SOURCES AND PROCESSES IN A CORDILLERAN ARC MAGMATIC SYSTEM    J. PETROL. 36   [1995]  265-298    doi: 10.1093/petrology/36.2.265",[3648],"TORMEY D. R., FREY F. A., LOPEZ-ESCOBAR L.:    GEOCHEMISTRY OF THE ACTIVE AZUFRE-PLANCHON-PETEROA VOLCANIC COMPLEX, CHILE (35°15^S): EVIDENCE FOR MULTIPLE SOURCES AND PROCESSES IN A CORDILLERAN ARC MAGMATIC SYSTEM    J. PETROL. 36   [1995]  265-298    doi: 10.1093/petrology/36.2.265"
"[3759] WALLACE P. J., CARMICHAEL I. S. E.:    MINETTE LAVAS AND ASSOCIATED LEUCITITES FROM THE WESTERN FRONT OF THE MEXICAN VOLCANIC BELT: PETROLOGY, CHEMISTRY AND ORIGIN    CONTRIB. MINERAL. PETROL. 103   [1989]  470-492    doi: 10.1007/BF01041754",[3759],"WALLACE P. J., CARMICHAEL I. S. E.:    MINETTE LAVAS AND ASSOCIATED LEUCITITES FROM THE WESTERN FRONT OF THE MEXICAN VOLCANIC BELT: PETROLOGY, CHEMISTRY AND ORIGIN    CONTRIB. MINERAL. PETROL. 103   [1989]  470-492    doi: 10.1007/BF01041754"
"[3849] ALLAN J. F., CARMICHAEL I. S. E.:    LAMPROPHYRIC LAVAS IN THE COLIMA GRABEN, SW MEXICO    CONTRIB. MINERAL. PETROL. 88   [1984]  203-216    doi: 10.1007/BF00380166",[3849],"ALLAN J. F., CARMICHAEL I. S. E.:    LAMPROPHYRIC LAVAS IN THE COLIMA GRABEN, SW MEXICO    CONTRIB. MINERAL. PETROL. 88   [1984]  203-216    doi: 10.1007/BF00380166"
"[3965] LUHR J. F., CARMICHAEL I. S. E., VAREKAMP J. C.:    THE 1982 ERUPTIONS OF EL CHICHON VOLCANO, CHIAPAS, MEXICO: MINERALOGY AND PETROLOGY OF THE ANHYDRITE-BEARING PUMICES    J. VOLCANOL. GEOTHERM. RES. 23   [1984]  69-108    doi: 10.1016/0377-0273(84)90057-X",[3965],"LUHR J. F., CARMICHAEL I. S. E., VAREKAMP J. C.:    THE 1982 ERUPTIONS OF EL CHICHON VOLCANO, CHIAPAS, MEXICO: MINERALOGY AND PETROLOGY OF THE ANHYDRITE-BEARING PUMICES    J. VOLCANOL. GEOTHERM. RES. 23   [1984]  69-108    doi: 10.1016/0377-0273(84)90057-X"
"[3971] ALLEGRE C.-J., CONDOMINES M.:    FINE CHRONOLOGY OF VOLCANIC PROCESSES USING 238U-230TH SYSTEMATICS    EARTH PLANET. SCI. LETT. 28   [1976]  395-406    doi: 10.1016/0012-821X(76)90201-6",[3971],"ALLEGRE C.-J., CONDOMINES M.:    FINE CHRONOLOGY OF VOLCANIC PROCESSES USING 238U-230TH SYSTEMATICS    EARTH PLANET. SCI. LETT. 28   [1976]  395-406    doi: 10.1016/0012-821X(76)90201-6"
"[4076] HEMING R. F., CARMICHAEL I. S. E.:    HIGH-TEMPERATURE PUMICE FLOWS FROM THE RABAUL CALDERA, PAPUA NEW GUINEA    CONTRIB. MINERAL. PETROL. 38   [1973]  1-20    doi: 10.1007/BF00371723",[4076],"HEMING R. F., CARMICHAEL I. S. E.:    HIGH-TEMPERATURE PUMICE FLOWS FROM THE RABAUL CALDERA, PAPUA NEW GUINEA    CONTRIB. MINERAL. PETROL. 38   [1973]  1-20    doi: 10.1007/BF00371723"
"[4218] PICHAVANT M., KONTAK D. J., BRIQUEU L., HERRERA J. V., CLARK A. H.:    THE MIOCENE-PLIOCENE MACUSANI VOLCANICS, SE PERU II. GEOCHEMISTRY AND ORIGIN OF A FELSIC PERALUMINOUS MAGMA    CONTRIB. MINERAL. PETROL. 100   [1988]  325-338    doi: 10.1007/BF00379742",[4218],"PICHAVANT M., KONTAK D. J., BRIQUEU L., HERRERA J. V., CLARK A. H.:    THE MIOCENE-PLIOCENE MACUSANI VOLCANICS, SE PERU II. GEOCHEMISTRY AND ORIGIN OF A FELSIC PERALUMINOUS MAGMA    CONTRIB. MINERAL. PETROL. 100   [1988]  325-338    doi: 10.1007/BF00379742"
"[4219] PICHAVANT M., KONTAK D. J., HERRERA J. V., CLARK A. H.:    THE MIOCENE-PLIOCENE MACUSANI VOLCANICS, SE PERU I. MINERALOGY AND MAGMATIC EVOLUTION OF A TWO-MICA ALUMINOSILICATE-BEARING IGNIMBRITE SUITE    CONTRIB. MINERAL. PETROL. 100   [1988]  300-324    doi: 10.1007/BF00379741",[4219],"PICHAVANT M., KONTAK D. J., HERRERA J. V., CLARK A. H.:    THE MIOCENE-PLIOCENE MACUSANI VOLCANICS, SE PERU I. MINERALOGY AND MAGMATIC EVOLUTION OF A TWO-MICA ALUMINOSILICATE-BEARING IGNIMBRITE SUITE    CONTRIB. MINERAL. PETROL. 100   [1988]  300-324    doi: 10.1007/BF00379741"
"[4527] CHAMBERS A. D., BROWN P. E.:    THE LILLOISE INTRUSION, EAST GREENLAND: FRACTIONATION OF A HYDROUS ALKALI PICRITIC MAGMA    J. PETROL. 36   [1995]  933-963    doi: 10.1093/petrology/36.4.933",[4527],"CHAMBERS A. D., BROWN P. E.:    THE LILLOISE INTRUSION, EAST GREENLAND: FRACTIONATION OF A HYDROUS ALKALI PICRITIC MAGMA    J. PETROL. 36   [1995]  933-963    doi: 10.1093/petrology/36.4.933"
"[4587] FODOR R. V.:    THE ROLE OF TONALITE AND DIORITE IN MAUNA KEA VOLCANO, HAWAII, MAGMATISM: PETROLOGY OF SUMMIT-REGION LEUCOCRATIC XENOLITHS    J. PETROL. 42   [2001]  1685-1704    doi: 10.1093/petrology/42.9.1685",[4587],"FODOR R. V.:    THE ROLE OF TONALITE AND DIORITE IN MAUNA KEA VOLCANO, HAWAII, MAGMATISM: PETROLOGY OF SUMMIT-REGION LEUCOCRATIC XENOLITHS    J. PETROL. 42   [2001]  1685-1704    doi: 10.1093/petrology/42.9.1685"
"[4604] UPTON B. G. J., LAI R. W., ASPEN P., FINCH A. A., VALLEY J. W.:    MEGACRYSTS AND ASSOCIATED XENOLITHS: EVIDENCE FOR MIGRATION OF GEOCHEMICALLY ENRICHED MELTS IN THE UPPER MANTLE BENEATH SCOTLAND    J. PETROL. 40   [1999]  935-956    doi: 10.1093/petroj/40.6.935",[4604],"UPTON B. G. J., LAI R. W., ASPEN P., FINCH A. A., VALLEY J. W.:    MEGACRYSTS AND ASSOCIATED XENOLITHS: EVIDENCE FOR MIGRATION OF GEOCHEMICALLY ENRICHED MELTS IN THE UPPER MANTLE BENEATH SCOTLAND    J. PETROL. 40   [1999]  935-956    doi: 10.1093/petroj/40.6.935"
"[4650] ELBURG M. A., FODEN J. D.:    SOURCES FOR MAGMATISM IN CENTRAL SULAWESI: GEOCHEMICAL AND SR-ND-PB ISOTOPIC CONSTRAINTS    CHEM. GEOL. 156   [1999]  67-93    doi: 10.1016/S0009-2541(98)00175-2",[4650],"ELBURG M. A., FODEN J. D.:    SOURCES FOR MAGMATISM IN CENTRAL SULAWESI: GEOCHEMICAL AND SR-ND-PB ISOTOPIC CONSTRAINTS    CHEM. GEOL. 156   [1999]  67-93    doi: 10.1016/S0009-2541(98)00175-2"
"[4743] COSTA F. G., DUNGAN M. A., SINGER B. S.:    HORNBLENDE- AND PHLOGOPITE-BEARING GABBROIC XENOLITHS FROM VOLCAN SAN PEDRO (36°S), CHILEAN ANDES: EVIDENCE FOR MELT AND FLUID MIGRATION AND REACTIONS IN SUBDUCTION-RELATED PLUTONS    J. PETROL. 43   [2002]  219-241    doi: 10.1093/petrology/43.2.219",[4743],"COSTA F. G., DUNGAN M. A., SINGER B. S.:    HORNBLENDE- AND PHLOGOPITE-BEARING GABBROIC XENOLITHS FROM VOLCAN SAN PEDRO (36°S), CHILEAN ANDES: EVIDENCE FOR MELT AND FLUID MIGRATION AND REACTIONS IN SUBDUCTION-RELATED PLUTONS    J. PETROL. 43   [2002]  219-241    doi: 10.1093/petrology/43.2.219"
"[4839] WANNAMAKER P. E., HULEN J. B., HEIZLER M. T.:    EARLY MIOCENE LAMPROITE FROM THE COLORADO PLATEAU TECTONIC PROVINCE, SOUTHEASTERN UTAH, USA    J. VOLCANOL. GEOTHERM. RES. 96   [2000]  175-190    doi: 10.1016/S0377-0273(99)00146-8",[4839],"WANNAMAKER P. E., HULEN J. B., HEIZLER M. T.:    EARLY MIOCENE LAMPROITE FROM THE COLORADO PLATEAU TECTONIC PROVINCE, SOUTHEASTERN UTAH, USA    J. VOLCANOL. GEOTHERM. RES. 96   [2000]  175-190    doi: 10.1016/S0377-0273(99)00146-8"
"[4961] MAHOOD G. A., GILBERT C. M., CARMICHAEL I. S. E.:    PERALKALINE AND METALUMINOUS MIXED-LIQUID IGNIMBRITES OF THE GUADALAJARA REGION, MEXICO    J. VOLCANOL. GEOTHERM. RES. 25   [1985]  259-271    doi: 10.1016/0377-0273(85)90016-2",[4961],"MAHOOD G. A., GILBERT C. M., CARMICHAEL I. S. E.:    PERALKALINE AND METALUMINOUS MIXED-LIQUID IGNIMBRITES OF THE GUADALAJARA REGION, MEXICO    J. VOLCANOL. GEOTHERM. RES. 25   [1985]  259-271    doi: 10.1016/0377-0273(85)90016-2"
"[5065] DOWNEY M. E., ARMSTRONG R. L., PARRISH R. R.:    K-AR, RB-SR AND FISSION TRACK GEOCHRONOMETRY OF THE BOCK^S BROOK STOCK, KLUANE RANGES, SOUTHWESTERN YUKON TERRITORY    GEOL. SURV. CAN. PAP. 80-1B   [1980]  189-193    doi: 10.4095/102138",[5065],"DOWNEY M. E., ARMSTRONG R. L., PARRISH R. R.:    K-AR, RB-SR AND FISSION TRACK GEOCHRONOMETRY OF THE BOCK^S BROOK STOCK, KLUANE RANGES, SOUTHWESTERN YUKON TERRITORY    GEOL. SURV. CAN. PAP. 80-1B   [1980]  189-193    doi: 10.4095/102138"
"[5082] DAVIES G. R., HALLIDAY A. N., MAHOOD G. A., HALL C. M.:    ISOTOPIC CONSTRAINTS ON THE PRODUCTION RATES, CRYSTALLIZATION HISTORIES AND RESIDENCE TIMES OF PRE-CALDERA SILICIC MAGMAS, LONG VALLEY, CALIFORNIA    EARTH PLANET. SCI. LETT. 125   [1994]  17-37    doi: 10.1016/0012-821X(94)90204-6",[5082],"DAVIES G. R., HALLIDAY A. N., MAHOOD G. A., HALL C. M.:    ISOTOPIC CONSTRAINTS ON THE PRODUCTION RATES, CRYSTALLIZATION HISTORIES AND RESIDENCE TIMES OF PRE-CALDERA SILICIC MAGMAS, LONG VALLEY, CALIFORNIA    EARTH PLANET. SCI. LETT. 125   [1994]  17-37    doi: 10.1016/0012-821X(94)90204-6"
"[5521] FREZZOTTI M.-L., TOURET J. L. R., NEUMANN E.-R.:    EPHEMERAL CARBONATE MELTS IN THE UPPER MANTLE: CARBONATE-SILICATE IMMISCIBILITY IN MICROVEINS AND INCLUSIONS WITHIN SPINEL PERIDOTITE XENOLITHS, LA GOMERA, CANARY ISLANDS    EUR. J. MINERAL. 14   [2002]  891-904    doi: 10.1127/0935-1221/2002/0014-0891",[5521],"FREZZOTTI M.-L., TOURET J. L. R., NEUMANN E.-R.:    EPHEMERAL CARBONATE MELTS IN THE UPPER MANTLE: CARBONATE-SILICATE IMMISCIBILITY IN MICROVEINS AND INCLUSIONS WITHIN SPINEL PERIDOTITE XENOLITHS, LA GOMERA, CANARY ISLANDS    EUR. J. MINERAL. 14   [2002]  891-904    doi: 10.1127/0935-1221/2002/0014-0891"
"[5539] BARAGAR W. R. A., MADER U., LECHIMINANT G. M.:    PALEOPROTEROZOIC CARBONATITIC ULTRABASIC VOLCANIC ROCKS (MEIMECHITES?) OF CAPE SMITH BELT, QUEBEC    CAN. J. EARTH SCI. 38   [2001]  1313-1334    doi: 10.1139/cjes-38-9-1313",[5539],"BARAGAR W. R. A., MADER U., LECHIMINANT G. M.:    PALEOPROTEROZOIC CARBONATITIC ULTRABASIC VOLCANIC ROCKS (MEIMECHITES?) OF CAPE SMITH BELT, QUEBEC    CAN. J. EARTH SCI. 38   [2001]  1313-1334    doi: 10.1139/cjes-38-9-1313"
"[5943] SANDEMAN H. A., CLARK A. H.:    GLASS-RICH, CORDIERITE-BIOTITE RHYODACITE, VALLE NINAHUISA, PUNO, SE PERU: PETROLOGICAL EVIDENCE FOR HYBRIDIZATION OF ´LACHLAN S-TYPE´ AND POTASSIC MAFIC MAGMAS    J. PETROL. 44   [2003]  355-385    doi: 10.1093/petrology/44.2.355",[5943],"SANDEMAN H. A., CLARK A. H.:    GLASS-RICH, CORDIERITE-BIOTITE RHYODACITE, VALLE NINAHUISA, PUNO, SE PERU: PETROLOGICAL EVIDENCE FOR HYBRIDIZATION OF ´LACHLAN S-TYPE´ AND POTASSIC MAFIC MAGMAS    J. PETROL. 44   [2003]  355-385    doi: 10.1093/petrology/44.2.355"
